EU,Product.Type,Product.Type.Code,Product.Subtype,Product.Subtype.Code,Product.Subtype.Code.Check,Product,Product.Simple,Product.Simple.Code,Product.Code.Check,Component,Species,Notes,Nfix,Tree,Mulched,Incorp,Unknown.Fate
xt2,xPlant Product,xPlant Product,badger,AgTr,,Acacia angustissima,Acacia angustissima,,,NA,Acacia angustissima,,Yes,Yes,a16.1,a16.2,a16
t2,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia angustissima,Acacia angustissima,,,NA,Acacia angustissima,,Yes,Yes,a16.1,a16.2,a16
t3,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia auriculiformis,Acacia auriculiformis,,,NA,Acacia auriculiformis,,Yes,Yes,a16.1,a16.2,a16
t4,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia brevispica,Acacia brevispica,,,NA,Acacia brevispica,,Yes,Yes,a16.1,a16.2,a16
t5,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia caerulescens,Acacia caerulescens,,,NA,Acacia caerulescens,,Yes,Yes,a16.1,a16.2,a16
t6,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia crassicarpa,Acacia crassicarpa,,,NA,Acacia crassicarpa,,Yes,Yes,a16.1,a16.2,a16
t7,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia cyanophylla,Acacia cyanophylla,,,NA,Acacia cyanophylla,,Yes,Yes,a16.1,a16.2,a16
t171,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia decurrens,Acacia decurrens,,,NA,Acacia decurrens,,,Yes,a15.1,a15.2,a15
t173,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia etbaica,Acacia etbaica,,,NA,Acacia etbaica,,,Yes,a15.1,a15.2,a15
t8,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia ferruginea,Acacia ferruginea,,,NA,Acacia ferruginea,,Yes,Yes,a16.1,a16.2,a16
t9,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia holosericea,Acacia holosericea,,,NA,Acacia holosericea,,Yes,Yes,a16.1,a16.2,a16
t10,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia karroo,Acacia karroo,,,NA,Acacia karroo,,Yes,Yes,a16.1,a16.2,a16
t11,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia leptocarpa,Acacia leptocarpa,,,NA,Acacia leptocarpa,,Yes,Yes,a16.1,a16.2,a16
t12,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia mangium,Acacia mangium,,,NA,Acacia mangium,,Yes,Yes,a16.1,a16.2,a16
t13,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia nilotica,Acacia nilotica,,,NA,Acacia nilotica,,Yes,Yes,a16.1,a16.2,a16
t14,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia polyacantha,Acacia polyacantha,,,NA,Acacia polyacantha,,Yes,Yes,a16.1,a16.2,a16
t16,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia saligna,Acacia saligna,,,NA,Acacia saligna,,Yes,Yes,a16.1,a16.2,a16
t17,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia senegal,Acacia senegal,,,NA,Acacia senegal,,Yes,Yes,a16.1,a16.2,a16
t18,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia sieberiana,Acacia sieberiana,,,NA,Acacia sieberiana,,Yes,Yes,a16.1,a16.2,a16
t179,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia sp,Acacia sp,,,NA,Acacia sp,,,Yes,a15.1,a15.2,a15
t15,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia tortilis,Acacia tortilis,,,NA,Acacia tortilis,,Yes,Yes,a16.1,a16.2,a16
t19,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia toxicaria,Acacia toxicaria,,,NA,Acacia toxicaria,,Yes,Yes,a16.1,a16.2,a16
t20,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acacia tumida,Acacia tumida,,,NA,Acacia tumida,,Yes,Yes,a16.1,a16.2,a16
t22,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Acrocarpus fraxinifolius,Acrocarpus fraxinifolius,,,NA,Acrocarpus fraxinifolius,,No,Yes,a17.1,a17.2,a17
t23,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Adansonia digitata,Adansonia digitata,,,NA,Adansonia digitata,,,Yes,a15.1,a15.2,a15
t24,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Afzelia africana,Afzelia africana,,,NA,Afzelia africana,,,Yes,a15.1,a15.2,a15
t25,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Albizia chinensis,Albizia chinensis,,,NA,Albizia chinensis,,Yes,Yes,a16.1,a16.2,a16
t26,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Albizia coriaria,Albizia coriaria,,,NA,Albizia coriaria,,Yes,Yes,a16.1,a16.2,a16
t27,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Albizia gummifera,Albizia gummifera,,,NA,Albizia gummifera,,Yes,Yes,a16.1,a16.2,a16
t28,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Albizia lebbeck,Albizia lebbeck,,,NA,Albizia lebbeck,,Yes,Yes,a16.1,a16.2,a16
t29,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Albizia zygia,Albizia zygia,,,NA,Albizia zygia,,Yes,Yes,a16.1,a16.2,a16
t30,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Alchornea cordifolia,Alchornea cordifolia,,,NA,Alchornea cordifolia,,,Yes,a15.1,a15.2,a15
t31,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Alnus acuminata,Alnus acuminata,,,NA,Alnus acuminata,,Yes,Yes,a16.1,a16.2,a16
t32,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Antiaris toxicaria,Antiaris toxicaria,,,NA,Antiaris toxicaria,,No,Yes,a17.1,a17.2,a17
t33,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Argyrolobium uniflorum,Argyrolobium uniflorum,,,NA,Argyrolobium uniflorum,,,Yes,a15.1,a15.2,a15
t35,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Artocarpus altilis,Artocarpus altilis,,,NA,Artocarpus altilis,,No,Yes,a17.1,a17.2,a17
t34,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Artocarpus heterophyllus,Artocarpus heterophyllus,,,NA,Artocarpus heterophyllus,,No,Yes,a17.1,a17.2,a17
t36,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Atriplex nummularia,Atriplex nummularia,,,NA,Atriplex nummularia,,,Yes,a15.1,a15.2,a15
t37,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Azadirachta indica,Azadirachta indica,,,NA,Azadirachta indica,,,Yes,a15.1,a15.2,a15
t191,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Balanites aegyptiaca,Balanites aegyptiaca,,,NA,Balanites aegyptiaca,,No,Yes,a17.1,a17.2,a17
t178,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Balanites sp,Balanites sp,,,NA,Balanites sp,,,Yes,a15.1,a15.2,a15
t124,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Bauhinia reticulata,Bauhinia reticulata,,,NA,Bauhinia reticulata,,,Yes,a15.1,a15.2,a15
t38,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Bauhinia rufescens,Bauhinia rufescens,,,NA,Bauhinia rufescens,,,Yes,a15.1,a15.2,a15
t39,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Berchemia discolor,Berchemia discolor,,,NA,Berchemia discolor,,,Yes,a15.1,a15.2,a15
t40,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Brachystegia spiciformis,Brachystegia spiciformis,,,NA,Brachystegia spiciformis,,,Yes,a15.1,a15.2,a15
t41,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Cajanus cajan,Cajanus cajan,,,NA,Cajanus cajan,,Yes,Yes,a16.1,a16.2,a16
t42,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Calliandra calothyrsus,Calliandra calothyrsus,,,NA,Calliandra calothyrsus,,Yes,Yes,a16.1,a16.2,a16
t43,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Calopogonium mucunoides,Calopogonium mucunoides,,,NA,Calopogonium mucunoides,,Yes,Yes,a16.1,a16.2,a16
t174,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Carissa spinarum,Carissa spinarum,,,NA,Carissa spinarum,,,Yes,a15.1,a15.2,a15
t46,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Casuarina equisetifolia,Casuarina equisetifolia,,,NA,Casuarina equisetifolia,,,Yes,a15.1,a15.2,a15
t47,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Casuarina glauca,Casuarina glauca,,,NA,Casuarina glauca,,,Yes,a15.1,a15.2,a15
t48,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Catha edulis,Catha edulis,,,NA,Catha edulis,,,Yes,a15.1,a15.2,a15
t49,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Cedrela odorata,Cedrela odorata,,,NA,Cedrela odorata,,,Yes,a15.1,a15.2,a15
t50,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Cedrela serrata,Cedrela serrata,,,NA,Cedrela serrata,,,Yes,a15.1,a15.2,a15
t168,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Celtis mildbraedii,Celtis mildbraedii,,,NA,Celtis mildbraedii,,,Yes,a15.1,a15.2,a15
t51,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Centrosema pubescens,Centrosema pubescens,,,NA,Centrosema pubescens,,,Yes,a15.1,a15.2,a15
t53,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Chromolaena odorata,Chromolaena odorata,,,NA,Chromolaena odorata,,,Yes,a15.1,a15.2,a15
t54,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Cinnamomum cassia,Cinnamomum cassia,,,NA,Cinnamomum cassia,,,Yes,a15.1,a15.2,a15
t55,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Combretum apiculatum,Combretum apiculatum,,,NA,Combretum apiculatum,,,Yes,a15.1,a15.2,a15
t56,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Cordia africana,Cordia africana,,,NA,Cordia africana,,,Yes,a15.1,a15.2,a15
t58,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Crotalaria agatiflora,Crotalaria agatiflora,,,NA,Crotalaria agatiflora,,Yes,Yes,a16.1,a16.2,a16
t59,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Crotalaria grahamiana,Crotalaria grahamiana,,,NA,Crotalaria grahamiana,,Yes,Yes,a16.1,a16.2,a16
t60,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Crotalaria juncea,Crotalaria juncea,,,NA,Crotalaria juncea,,Yes,Yes,a16.1,a16.2,a16
t61,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Crotalaria ochrolueca,Crotalaria ochrolueca,,,NA,Crotalaria ochrolueca,,Yes,Yes,a16.1,a16.2,a16
t57,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Crotalaria sp,Crotalaria sp,,,NA,Crotalaria sp,,,Yes,a15.1,a15.2,a15
t62,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Crotalaria trichotoma,Crotalaria trichotoma,,,NA,Crotalaria trichotoma,,Yes,Yes,a16.1,a16.2,a16
t63,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Croton macrostachyus,Croton macrostachyus,,,NA,Croton macrostachyus,,,Yes,a15.1,a15.2,a15
t64,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Croton megalocarpus,Croton megalocarpus,,,NA,Croton megalocarpus,,,Yes,a15.1,a15.2,a15
t65,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Cupressus lusitanica,Cupressus lusitanica,,,NA,Cupressus lusitanica,,,Yes,a15.1,a15.2,a15
t52,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Cytisus proliferus,Cytisus proliferus,,,NA,Cytisus proliferus,,,Yes,a15.1,a15.2,a15
t21,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Dactyladenia barteri,Dactyladenia barteri,,,NA,Dactyladenia barteri,,Yes,Yes,a16.1,a16.2,a16
t67,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Desmodium discolor,Desmodium discolor,,,NA,Desmodium discolor,,,Yes,a15.1,a15.2,a15
t68,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Desmodium distortum,Desmodium distortum,,,NA,Desmodium distortum,,,Yes,a15.1,a15.2,a15
t69,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Desmodium intortum,Desmodium intortum,,,NA,Desmodium intortum,,,Yes,a15.1,a15.2,a15
t70,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Desmodium uncinatum,Desmodium uncinatum,,,NA,Desmodium uncinatum,,,Yes,a15.1,a15.2,a15
t71,Plant Product,Plant Product,Agroforestry Tree,AgTr,,Dodonaea viscosa,Dodonaea viscosa,,,NA,Dodonaea viscosa,,No,Yes,a17.1,a17.2,a17
